worker,start_date,years_worked
Anna Maria Stanaszek (kroczniak1),2021-08-11,4
Anna Maria Staniaszek (bkopala),2021-05-19,4
Anna Maria Steckiewicz (jozef351),2024-02-27,1
Anna Maria Stefankiewicz (wojtiukstanislaw),2024-09-23,1
Anna Maria Steinke (zackiewiczmikolaj),2022-12-20,2
Anna Maria Stochaj (cezary121),2022-04-18,3
Anna Maria Stoltman (talaskafabian),2021-05-10,4
Anna Maria Stosio (rdyda),2023-05-24,2
Anna Maria Stypka (piotrcywka),2021-03-16,4
Anna Maria Suda (lbondyra),2022-05-17,3
Anna Maria Sura (krystyna45),2024-06-01,1
Anna Maria Sus (jakubaszekanastazja),2022-01-25,3
Anna Maria Sydor (jaremekangelika),2022-10-10,3
Anna Maria Symonowicz (cezarypokusa),2022-12-13,2
Anna Maria Szaj (zackiewiczewelina),2023-04-06,2
Anna Maria Szałas (klarasiemek),2021-08-08,4
Anna Maria Szambelan (karina051),2024-01-02,1
Anna Maria Szara (rhabdas),2023-04-28,2
Anna Maria Szarzec (fryderykgapys),2022-09-14,3
Anna Maria Szmalec (witoldtoborek1),2022-06-24,3
Anna Maria Szok (kornelia90),2022-01-21,3
Anna Maria Śliż (wojewodzicroksana),2024-10-11,1
Anna Maria Tabak (chomiukliwia),2023-07-12,2
Anna Maria Tabak (lukaszwac),2024-02-10,1
Anna Maria Tabak (maurycy301),2024-10-13,1
Anna Maria Tadeusiak (anna-mariakosciesza),2021-06-24,4
Anna Maria Talaśka (leonardsmolka),2021-11-25,4
Anna Maria Tatarczuk (dciuba),2022-01-24,3
Anna Maria Tekieli (kozokhubert),2022-08-22,3
Anna Maria Tolak (gajaborysiak),2022-03-26,3
Anna Maria Tolak (sarotamaciej),2023-12-29,1
Anna Maria Tórz (jerzyzapior),2021-02-12,4
Anna Maria Trąbka (rczerniakiewicz),2024-04-27,1
Anna Maria Trzyna (michelaniela),2021-07-20,4
Anna Maria Tworzydło (rlula1),2024-07-05,1
Anna Maria Tylec (tadeusz51),2022-06-04,3
Anna Maria Ulewicz (karolczupryn),2024-07-22,1
Anna Maria Wacław (mykartur),2021-02-06,4
Anna Maria Walenciak (kstupak),2024-06-16,1
Anna Maria Wałęsa (vkubrak),2024-07-13,1
Anna Maria Warczak (pzastawny),2024-02-09,1
Anna Maria Wasilewicz (cyrulikksawery),2022-03-07,3
Anna Maria Waszczyk (emiasik),2022-01-05,3
Anna Maria Wawrzyn (justyna66),2022-03-10,3
Anna Maria Wawrzynowicz (molkakajetan),2023-01-20,2
Anna Maria Wawszczak (gustaw751),2022-10-20,3
Anna Maria Wąsiewicz (borys15),2021-12-01,4
Anna Maria Wiaderek (marcelinakloczko),2023-03-01,2
Anna Maria Wiciak (uosipiuk),2022-07-17,3
Anna Maria Wika (hgebauer),2022-05-30,3
Anna Maria Wilma (fboduch),2021-05-08,4
Anna Maria Wlizło (olato),2023-12-26,1
Anna Maria Wochnik (ziecikborys),2024-10-27,1
Anna Maria Wocial (malyszkanicole),2021-03-19,4
Anna Maria Wojtera (wawrzkiewiczjedrzej),2021-11-08,4
Anna Maria Wołczyk (jkowala),2021-09-05,4
Anna Maria Woszczak (adrianna09),2022-01-05,3
Anna Maria Woszczak (ksawery74),2024-01-22,1
Anna Maria Wośko (daniel931),2023-05-05,2
Anna Maria Wódka (ewa513),2022-07-10,3
Anna Maria Wójs (xnieradzik),2021-05-26,4
Anna Maria Wrześniak (jedrzejekmilosz),2024-04-14,1
Anna Maria Wykręt (jerzykozon),2023-07-16,2
Anna Maria Wysota (sebastianmaslankiewicz),2021-06-17,4
Anna Maria Wziątek (bartosartur),2021-02-12,4
Anna Maria Zackiewicz (worachksawery),2021-12-19,3
Anna Maria Zagrodnik (ignacykrefta),2024-06-14,1
Anna Maria Zapaśnik (agnieszka361),2022-12-05,3
Anna Maria Zasępa (okraskaaleks),2022-11-24,3
Anna Maria Zatoń (linkejeremi),2021-05-06,4
Anna Maria Zdonek (ziejakrzysztof1),2022-08-29,3
Anna Maria Ziemkiewicz (anielakempka),2024-03-03,1
Anna Maria Zieniewicz (ipryszcz),2022-02-06,3
Anna Maria Zimmer (szlachcictomasz),2022-12-26,2
Anna Maria Złotek (nkiliszek),2021-11-09,4
Anna Maria Zmarzły (nelademianczuk),2022-05-03,3
Anna Maria Zyga (leonard23),2020-12-20,4
Anna Maria Żakiewicz (juliannaszostak),2021-02-20,4
Anna Maria Żelazek (wladykamariusz),2021-09-06,4
Anna Maria Żołądź (lgajdzik),2024-05-21,1
Antoni Andrearczyk (maciejwereda),2023-03-09,2
Antoni Andrearczyk (tkordus),2024-09-09,1
Antoni Andrzejuk (piotr472),2022-08-23,3
Antoni Antoń (boryskobak),2024-07-05,1
Antoni Armata (adam342),2024-11-15,1
Antoni Bakiera (ryszardproch),2021-02-21,4
Antoni Bandyk (kdziarmaga1),2024-01-03,1
Antoni Banek (nicolesapala),2024-07-04,1
Antoni Bartel (ftabisz),2021-01-19,4
Antoni Bartocha (liwiagozdur),2023-10-23,2
Antoni Basa (laszczykjanina),2024-07-12,1
Antoni Basista (pgruchot),2021-05-31,4
Antoni Bąbel (tadeuszmaciocha),2023-06-26,2
Antoni Bek (janina963),2024-03-30,1
Antoni Beker (anita06),2022-10-07,3
Antoni Bembenek (tymoteusz39),2021-11-04,4
Antoni Berek (wasiukpiotr),2023-05-29,2
Antoni Bereś (lacinaeliza),2022-12-11,2
Antoni Bernatowicz (kurczakjedrzej),2023-09-27,2
Antoni Bieleń (hbryzek),2023-12-09,2
Antoni Bienia (gkalarus1),2021-04-08,4
Antoni Bitner (feliksiakliwia),2022-10-20,3
Antoni Błądek (jszumny),2022-08-06,3
Antoni Bobryk (mhalka),2024-07-31,1
Antoni Bodek (druman1),2024-05-22,1
Antoni Boksa (tpanus),2022-02-20,3
Antoni Borkowicz (paczosemil),2022-04-21,3
Antoni Broncel (roszkiewiczmarianna),2021-03-19,4
Antoni Bronka (drewiczandrzej),2023-04-21,2
Antoni Bronka (mikolaj281),2023-01-14,2
Antoni Brzykcy (gustawopoka),2022-07-27,3
Antoni Bukowiec (kasiakmonika),2023-05-03,2
Antoni Bylina (wabikanna-maria),2024-10-30,1
Antoni Calik (radoslawgaszczak1),2024-04-30,1
Antoni Capiga (maurycy541),2022-09-23,3
Antoni Chachuła (omila),2021-02-07,4
Antoni Chalimoniuk (olga23),2021-10-03,4
Antoni Cheba (popyrchal),2024-11-01,1
Antoni Cherek (justynastraszak),2023-11-29,2
Antoni Choroś (pczurylo),2021-11-04,4
Antoni Ciapa (szydaurszula),2022-05-04,3
Antoni Ciarka (kreciszkazimierz),2021-12-04,4
Antoni Cieciura (lamentcyprian),2022-10-03,3
Antoni Ciećko (norbertmrozowicz),2021-09-29,4
Antoni Cieniuch (ewarohde1),2023-07-25,2
Antoni Ciepła (jerzy351),2024-05-23,1
Antoni Ciężka (ignacy05),2021-08-13,4
Antoni Cimoch (nicole661),2023-09-08,2
Antoni Ciochoń (stefanhelak),2021-01-06,4
Antoni Ciuruś (nikodemzaborek),2023-10-13,2
Antoni Cofała (satorakarina),2024-01-15,1
Antoni Czenczek (olga92),2022-02-02,3
Antoni Czermak (szpytemil),2022-02-26,3
Antoni Czupryna (nikodem162),2024-04-21,1
Antoni Ćwierz (marcel153),2024-06-08,1
Antoni Dadej (sylwia58),2022-07-07,3
Antoni Delikat (marcelinawota),2021-07-21,4
Antoni Demiańczuk (gojjeremi),2022-04-27,3
Antoni Deryło (zhutnik1),2024-11-03,1
Antoni Dietrich (adriannakozaczuk1),2021-03-14,4
Antoni Domek (pbuczma),2021-05-21,4
Antoni Domian (swalesa),2024-06-08,1
Antoni Doroszuk (nela821),2023-05-29,2
Antoni Dorynek (roza50),2024-02-11,1
Antoni Downar (adrian442),2021-03-27,4
Antoni Downar (wdydo),2022-05-17,3
Antoni Drobik (robert171),2022-10-21,3
Antoni Drobnik (marchlewiczanastazja),2022-02-09,3
Antoni Drozda (mirgosadrian),2024-07-28,1
Antoni Dubik (clazarek),2024-06-14,1
Antoni Dubik (kaszniafryderyk),2022-12-24,2
Antoni Dulemba (rozabuszka),2023-08-24,2
Antoni Durma (cszalas),2023-11-23,2
Antoni Dybaś (kazimierzjewula),2024-04-29,1
Antoni Dyja (odrozdziel),2022-09-18,3
Antoni Dylak (maurycyrezmer),2023-04-04,2
Antoni Dylong (ignacyulrych),2024-03-17,1
Antoni Dziadura (antonitadla),2021-10-10,4
Antoni Dzierżak (zebikiwo),2022-12-05,3
Antoni Dzikiewicz (oskar99),2023-05-28,2
Antoni Dzwonnik (pakoszrozalia),2023-11-23,2
Antoni Elert (jedraszczykkornel),2022-09-22,3
Antoni Elias (babijida),2022-11-20,3
Antoni Elsner (mkawiak1),2024-06-15,1
Antoni Famuła (ndorobisz),2024-10-23,1
Antoni Fiedler (fronigor),2022-06-20,3
Antoni Frycz (hdrej1),2021-04-10,4
Antoni Fuławka (wojciech49),2024-05-29,1
Antoni Furgał (nikodempronobis),2021-05-07,4
Antoni Furmankiewicz (pierchalajan),2021-06-18,4
Antoni Futyma (monikamielcarz),2023-10-31,2
Antoni Gabrych (herokdaniel),2023-05-26,2
Antoni Gałaj (blanka232),2024-05-17,1
Antoni Garczarek (qdyszy),2023-11-07,2
Antoni Gebauer (fgron),2023-12-13,1
Antoni Gieroń (tadlanorbert),2022-03-22,3
Antoni Glanc (bposmyk),2021-07-19,4
Antoni Gładka (tolaziarno),2022-01-24,3
Antoni Goj (gusciorastefan),2021-11-07,4
Antoni Golisz (stefangubernat),2022-07-20,3
Antoni Golonko (oslizloaleksander),2022-06-11,3
Antoni Gordon (lewekkrzysztof),2021-03-01,4
Antoni Gosek (lesnermarcelina),2024-04-21,1
Antoni Gosz (maurycy51),2024-01-19,1
Antoni Grabczak (sajnogkacper),2023-01-31,2
Antoni Gronostaj (gierakadrian),2021-12-05,4
Antoni Gronostaj (stanislaw01),2023-06-22,2
Antoni Grubba (kowalakalina),2024-01-17,1
Antoni Grund (pernakfabian),2021-12-06,4
Antoni Grund (pragan),2022-11-17,3
Antoni Grygorowicz (emilmielcarz),2022-12-17,2
Antoni Gryka (aleksanderbejnarowicz),2024-06-20,1
Antoni Grymuza (szymondrwiega),2024-04-04,1
Antoni Grys (danielbalik),2021-01-19,4
Antoni Grzech (sternaborys),2024-08-27,1
Antoni Hadam (hbus),2021-04-06,4
Antoni Hallmann (dorotaciapa),2020-12-30,4
Antoni Hamerla (biankasubocz),2024-09-03,1
Antoni Hass (andrukiewiczgabriel),2023-11-01,2
Antoni Heba (sapetasandra),2021-05-24,4
Antoni Hendzel (melaniabednarowicz),2023-10-10,2
Antoni Herbut (lkozlak),2022-11-17,3
Antoni Hirsch (mojmonika),2024-07-18,1
Antoni Hrynkiewicz (dominikmusiala),2023-09-11,2
Antoni Huczko (karol642),2022-10-28,3
Antoni Irla (kamila104),2023-11-26,2
Antoni Irla (krzysztof252),2021-11-03,4
Antoni Jaremek (maks13),2024-05-09,1
Antoni Jarka (tomasz421),2023-02-16,2
Antoni Jaśko (ziarnoroza1),2021-09-13,4
Antoni Juszczuk (gkubek),2021-02-11,4
Antoni Juszczuk (slupekkazimierz),2021-05-20,4
Antoni Kabala (stanislawgawliczek),2022-04-16,3
Antoni Kalarus (igor12),2022-06-17,3
Antoni Kalinka (ssimon),2024-02-24,1
Antoni Kaluga (pryszczjan),2023-02-11,2
Antoni Kałwa (mieszkodzielak1),2024-11-13,1
Antoni Kałwak (xpalen),2023-03-29,2
Antoni Kapral (kornelwaluk),2024-07-29,1
Antoni Kapral (liwiauryga),2021-01-22,4
Antoni Karalus (gdzialo),2024-10-11,1
Antoni Karnas (andrzej442),2024-04-12,1
Antoni Karnas (galikagnieszka),2022-02-10,3
Antoni Karpiak (olgierd56),2023-09-15,2
Antoni Kawiak (dsajda),2023-09-14,2
Antoni Kaźmierczyk (saraszkiewicz),2021-04-24,4
Antoni Kędziorek (arturbas),2021-09-04,4
Antoni Kiełek (mferet),2024-04-20,1
Antoni Kiwior (krzysztofbalcewicz),2022-04-12,3
Antoni Klimko (deszczdorota),2024-10-15,1
Antoni Klinkosz (zwojtalik),2023-07-04,2
Antoni Kliszcz (gaja061),2022-10-01,3
Antoni Kłysz (cjaremko),2022-05-05,3
Antoni Knapek (lsugier),2021-10-09,4
Antoni Knysak (dyczkomariusz),2023-02-25,2
Antoni Kobryń (kajsturaantoni),2021-10-04,4
Antoni Kociemba (olgastochaj),2023-03-12,2
Antoni Komander (olaf52),2023-02-19,2
Antoni Konsek (wiktor06),2022-03-10,3
Antoni Kopiczko (lkeler),2021-09-25,4
Antoni Kopij (broncelmaciej),2021-02-24,4
Antoni Korda (tadeuszpalus),2022-04-12,3
Antoni Kordys (klararomanczyk),2023-08-02,2
Antoni Kornak (ndziadkiewicz1),2022-08-30,3
Antoni Kosiak (kacperpawliczak),2024-05-27,1
Antoni Kosiec (apoloniatabak),2022-10-23,3
Antoni Koterba (gortatkamila),2023-01-17,2
Antoni Kozieja (kornel26),2023-09-03,2
Antoni Koźlak (jacekszumilo),2024-09-23,1
Antoni Krajniak (miasikjanina),2023-12-21,1
Antoni Krekora (lkolanko),2022-10-26,3
Antoni Kruzel (ewelinaburchardt),2023-12-28,1
Antoni Kryszczuk (alangapys),2022-11-08,3
Antoni Kubów (pudelektadeusz),2024-01-24,1
Antoni Kuciak (mcibor),2021-01-31,4
Antoni Kuczaj (gizaroksana),2022-08-03,3
Antoni Kunka (kluczekernest),2022-11-02,3
Antoni Kunysz (tarachkalina),2023-07-18,2
Antoni Kursa (gustaw53),2021-05-20,4
Antoni Laszczyk (stanislaw00),2024-08-15,1
Antoni Lenarcik (kuropatwaradoslaw),2024-07-22,1
Antoni Leszczuk (iminta1),2022-03-17,3
Antoni Ligas (tymoteusz30),2021-02-03,4
Antoni Lipok (wiekierakamila),2021-11-06,4
Antoni Liss (ymaliglowka1),2024-01-31,1
Antoni Lizoń (maksymilian92),2021-08-04,4
Antoni Lorenz (frelichkacper),2023-11-24,2
Antoni Lorenz (nela801),2023-06-09,2
Antoni Łapacz (glegolaliwia),2021-04-29,4
Antoni Łapot (szymondobron),2022-04-29,3
Antoni Łokietek (lusiakgabriel),2023-12-07,2
Antoni Maciuk (ada131),2023-01-31,2
Antoni Madejczyk (gajaszlachcic),2022-07-08,3
Antoni Majdan (hajdasandrzej),2020-12-28,4
Antoni Majorczyk (fpachowicz),2023-04-30,2
Antoni Majorek (adrian23),2022-07-27,3
Antoni Majzner (pizontymoteusz),2021-04-14,4
Antoni Makles (anna-mariagabara),2022-04-24,3
Antoni Makles (przemyslaw46),2021-10-08,4
Antoni Maksym (hrozum),2021-01-29,4
Antoni Makulec (ignacymadziar),2024-01-19,1
Antoni Malka (przewlokabianka),2024-09-30,1
Antoni Małysiak (kcibor1),2020-12-19,4
Antoni Maraszek (ukieca),2024-06-19,1
Antoni Marosz (kazimierzwojak),2023-02-03,2
Antoni Maruszczak (pacholekbianka),2022-09-18,3
Antoni Masiak (wosiakernest),2022-11-25,3
Antoni Matejczyk (tepermariusz),2023-07-11,2
Antoni Melka (fitamikolaj),2024-06-04,1
Antoni Mik (damian74),2024-01-01,1
Antoni Mikłaszewicz (sebastiankolpak),2023-01-23,2
Antoni Mikłaszewicz (wojciech341),2022-04-25,3
Antoni Milka (marianna311),2022-09-23,3
Antoni Mizak (rochal),2023-04-16,2
Antoni Młot (mpiekart),2023-04-30,2
Antoni Młynarz (tymoteuszlatko),2023-09-25,2
Antoni Mol (omitek),2021-02-07,4
Antoni Molka (aleksandergilewicz),2023-08-21,2
Antoni Molka (stefanpolewka),2021-04-07,4
Antoni Moneta (marcelina31),2024-08-03,1
Antoni Moneta (olaflazarek),2024-10-11,1
Antoni Morawiak (facmarcelina),2021-09-06,4
Antoni Mućka (elzbietalegowik),2021-01-30,4
Antoni Mularz (jgasienica),2022-03-19,3
Antoni Naczk (wandzelemil),2022-06-25,3
Antoni Nalazek (nelabobik),2023-04-04,2
Antoni Nestorowicz (ksawery23),2024-03-17,1
Antoni Niedośpiał (dbeck2),2021-12-08,4
Antoni Niedośpiał (makarsebastian),2022-02-27,3
Antoni Niemczuk (pawel65),2023-11-20,2
Antoni Nikołajuk (icimoch),2021-07-04,4
Antoni Nitek (szczerekurszula),2021-10-20,4
Antoni Nitek (zoladkiewiczadrianna),2022-09-13,3
Antoni Ochnik (elzbieta531),2024-08-31,1
Antoni Ofiara (gustawklosiewicz),2023-05-10,2
Antoni Ogłaza (aleksbryczek),2022-08-17,3
Antoni Okła (arkadiusztokarek),2021-02-28,4
Antoni Okła (olkowiczjan),2021-08-01,4
Antoni Oleksak (leonkruszka),2022-06-09,3
Antoni Olewniczak (szymonsommer),2021-12-09,4
Antoni Olkowicz (tymoteusz16),2024-04-29,1
Antoni Orman (natanszczepaniec),2022-09-08,3
Antoni Osik (sebastianszumacher),2024-06-07,1
Antoni Pacholik (tylecmarika),2024-02-08,1
Antoni Pachuta (nikodemblazejak),2022-09-25,3
Antoni Pajek (oskar401),2023-04-21,2
Antoni Panasiewicz (wlodykacezary),2024-11-15,1
Antoni Pasich (usoroko1),2022-06-15,3
Antoni Patoła (tatarekmarcel),2022-01-17,3
Antoni Patora (seredanatan),2022-11-16,3
Antoni Paw (dominorobert),2024-02-14,1
Antoni Pawlukiewicz (pkliber),2022-07-31,3
Antoni Piechura (sebastian601),2022-01-13,3
Antoni Pieczarka (jozefkedziorek),2024-05-06,1
Antoni Piotrkowicz (dorota79),2023-12-10,2
Antoni Polnik (nurkiewiczaleks),2021-01-04,4
Antoni Poreda (aureliakobos),2020-12-18,4
Antoni Porzucek (ksawerydurlak),2023-05-24,2
Antoni Potok (tymonrabiej),2023-09-14,2
Antoni Preś (antoniflasza),2023-07-01,2
Antoni Preś (bslawik),2022-11-30,3
Antoni Prystupa (snieganna-maria),2021-11-01,4
Antoni Przewoźna (mateuszwitkowicz),2022-04-04,3
Antoni Puch (leonbabij1),2022-01-23,3
Antoni Puła (malwina97),2023-01-21,2
Antoni Pusz (maciej542),2022-07-31,3
Antoni Pysz (robertimiolczyk),2022-03-31,3
Antoni Rajchel (szpilamikolaj),2021-04-08,4
Antoni Rej (labnodorota),2021-01-26,4
Antoni Roszkiewicz (frelekadam),2024-04-01,1
Antoni Roszko (danielkociemba),2024-10-19,1
Antoni Rozum (tekielaryszard),2023-01-12,2
Antoni Rozumek (xmojsa),2022-04-14,3
Antoni Rudolf (kurnikeliza),2021-03-30,4
Antoni Rudyk (maksbandyk),2022-09-30,3
Antoni Rup (balasjan),2023-02-14,2
Antoni Rurarz (cezary291),2021-03-04,4
Antoni Salwin (xgasik1),2024-09-02,1
Antoni Schubert (woloszczukjerzy),2021-03-05,4
Antoni Sieja (dziedzinatobiasz),2023-08-15,2
Antoni Siwka (albertsadoch),2020-11-19,5
Antoni Skalik (jakub04),2023-08-19,2
Antoni Składanek (emil511),2020-11-29,5
Antoni Skomra (jereminalewajek),2023-08-16,2
Antoni Skutnik (krystiandziewa),2024-09-04,1
Antoni Słabosz (ernestkuczak),2021-07-21,4
Antoni Słonka (ewa28),2021-07-29,4
Antoni Słowiak (roza411),2020-12-03,5
Antoni Słupik (fkuffel),2024-11-09,1
Antoni Smyl (nmuniak),2024-01-26,1
Antoni Solarek (mysiormikolaj),2022-05-23,3
Antoni Stark (robertjargilo),2024-08-17,1
Antoni Startek (rozajonak),2022-09-06,3
Antoni Stąpór (malwinalalak),2023-10-16,2
Antoni Strawa (anastazja15),2023-10-09,2
Antoni Strawa (qmachowiak),2021-09-15,4
Antoni Strycharz (oglazer),2021-03-25,4
Antoni Strzępek (poletekkamil),2023-11-20,2
Antoni Stuglik (ryszard97),2023-06-30,2
Antoni Stypa (xroslon1),2021-05-04,4
Antoni Suchoń (julianna381),2022-12-22,2
Antoni Suda (agnieszka02),2023-12-25,1
Antoni Suda (anitatrochimiuk),2024-08-31,1
Antoni Sudnik (jerzyspychaj),2024-04-10,1
Antoni Sulich (wfita),2022-05-25,3
Antoni Sulich (xsoltan1),2024-02-23,1
Antoni Surmiak (tymon071),2022-12-20,2
Antoni Szafarz (juliuszmosur),2021-05-31,4
Antoni Szczepaniec (gburzawa),2022-09-11,3
Antoni Szczot (wasiewiczmelania),2024-02-10,1
Antoni Szemraj (hajdaada),2023-06-28,2
Antoni Szeszko (filipgraban),2022-02-22,3
Antoni Szlachcic (janbujko),2023-11-19,2
Antoni Szmajda (adrianna621),2024-04-14,1
Antoni Szmelter (krystynawalentynowicz),2021-08-11,4
Antoni Szmuc (bpedrycz),2023-09-27,2
Antoni Szoka (alanstepka),2024-09-29,1
Antoni Szwałek (marikahermann),2023-11-30,2
Antoni Szyjka (stefanskubis),2024-04-08,1
Antoni Szymanik (glowniaartur),2021-03-11,4
Antoni Szymanik (pawelgiec),2024-08-13,1
Antoni Szymańczak (piekarakonrad),2023-04-16,2
Antoni Szyndler (natasza602),2023-10-11,2
Antoni Szynkiewicz (janina401),2023-12-30,1
Antoni Świerad (elertlukasz),2021-01-18,4
Antoni Świerad (marek46),2021-07-27,4
Antoni Świtaj (cezarydziugiel),2023-10-26,2
Antoni Świtaj (dyjamalwina),2024-10-01,1
Antoni Tadych (olgierdrasala),2021-07-29,4
Antoni Tatarek (bianka121),2023-09-06,2
Antoni Tereszkiewicz (szimniak),2024-04-19,1
Antoni Teter (imelka),2021-10-06,4
Antoni Tłuczek (bugieljedrzej),2022-01-15,3
Antoni Tołoczko (piotrdybka),2022-10-05,3
Antoni Tomalak (uhusak),2022-11-30,3
Antoni Tomzik (ciarkakaja),2022-03-26,3
Antoni Twardosz (sztubadawid),2022-10-13,3
Antoni Tylek (jedrzejszok),2022-02-23,3
Antoni Tylek (vlichon),2022-05-10,3
Antoni Tymczyszyn (hstark),2023-09-08,2
Antoni Ubysz (lbartlomiejczyk),2023-03-11,2
Antoni Ułanowicz (akawulok),2023-07-21,2
Antoni Uryga (alan16),2023-09-28,2
Antoni Wakuła (kczerner),2021-07-03,4
Antoni Walkusz (mariuszchadaj1),2022-06-04,3
Antoni Warchał (jeremifabianczyk),2021-05-24,4
Antoni Warwas (zrychert),2022-10-30,3
Antoni Wasiewicz (aleks13),2021-10-09,4
Antoni Wawrzyńczyk (wozniakbruno),2023-01-26,2
Antoni Wawszczak (pnagorka),2023-06-27,2
Antoni Wenzel (usamiec),2022-12-03,3
Antoni Węgier (theczko1),2024-02-08,1
Antoni Wika (bklyta),2023-12-07,2
Antoni Wincenciak (michalmegger),2021-09-15,4
Antoni Witko (wawrzyndawid),2021-06-05,4
Antoni Wittbrodt (bkrata),2024-08-11,1
Antoni Wojcik (hsleczka),2021-11-12,4
Antoni Wojtaszak (biankaczenczek),2021-11-25,4
Antoni Wołoch (ppodgorna),2022-06-08,3
Antoni Wons (pawellinkiewicz),2022-08-27,3
Antoni Woroch (stanislawjaszczyszyn),2024-03-22,1
Antoni Woszczak (ingapniak),2022-05-05,3
Antoni Wrześniak (gabrielirzyk),2022-01-12,3
Antoni Wujek (malwina982),2022-08-16,3
Antoni Wyciszkiewicz (norbert55),2023-06-09,2
Antoni Wyderka (ikaletka),2022-10-19,3
Antoni Wykręt (jbaszak),2024-05-02,1
Antoni Wypiór (karolurszula),2022-12-14,2
Antoni Wyroślak (wiktorkolesnik),2023-04-06,2
Antoni Zagożdżon (brejnakjeremi),2023-12-09,2
Antoni Zatoń (skrolikiewicz),2024-05-19,1
Antoni Zawodnik (tymonnestorowicz),2023-06-02,2
Antoni Ziegler (wolffpatryk),2021-03-31,4
Antoni Ziemkiewicz (jacekkobel),2021-06-09,4
Antoni Zimmer (olafjedrusiak),2023-03-28,2
Antoni Zimoląg (ochotawiktor),2024-10-17,1
Antoni Zioła (chalimoniukgaja),2022-03-12,3
Antoni Żmija (nicolepawliszyn),2022-09-09,3
Antoni Żok (franciszek17),2023-11-27,2
Antoni Żuchowicz (cfiedler1),2024-02-23,1
Antoni Żurawik (maciejswierszcz),2024-11-02,1
Antoni Żymełka (piotrsykut),2024-05-06,1
Antoni Żyrek (filip111),2022-03-26,3
Apolonia Achtelik (kajetangniewek),2024-09-16,1
Apolonia Aleksa (urszulaslysz),2022-08-23,3
Apolonia Andruszko (stanislawswierszcz1),2024-05-08,1
Apolonia Anioła (emil08),2023-12-28,1
Apolonia Armata (aleks38),2021-01-29,4
Apolonia Armata (dbus),2022-08-15,3
Apolonia Bałdys (zbabiuch),2022-10-24,3
Apolonia Bancerz (kamila781),2023-05-29,2
Apolonia Bartocha (natanszpyrka),2024-09-23,1
Apolonia Baszak (skucharz),2023-04-02,2
Apolonia Bąkiewicz (ssteinke),2021-06-25,4
Apolonia Bejger (adambok),2021-08-04,4
Apolonia Bejger (jedrusiakalbert),2024-04-10,1
Apolonia Bek (kajetanzmija),2022-01-13,3
Apolonia Bek (proceknataniel),2021-02-24,4
Apolonia Beker (krystian281),2023-06-02,2
Apolonia Bernatek (apolonia86),2024-05-31,1
Apolonia Bienia (dariusz402),2021-05-13,4
Apolonia Bobko (drobikmaksymilian),2022-03-13,3
Apolonia Bojczuk (majtczakmaurycy),2023-03-13,2
Apolonia Bona (mszpyrka),2023-12-10,2
Apolonia Borkowicz (wojciech31),2023-04-05,2
Apolonia Brachman (fszczerek),2024-01-31,1
Apolonia Breguła (dariuszcichos),2021-09-02,4
Apolonia Brygoła (nickeldaniel),2023-11-08,2
Apolonia Brząkała (ryszardfoit),2024-05-15,1
Apolonia Budrewicz (karolchromy),2024-02-13,1
Apolonia Budych (rsady1),2021-07-20,4
Apolonia Bulanda (blazej51),2021-10-29,4
Apolonia Burnat (jangierat),2024-08-10,1
Apolonia Buza (tfoit),2022-11-27,3
Apolonia Bzymek (mulawapiotr),2020-12-27,4
Apolonia Cal (alan512),2022-07-16,3
Apolonia Chaba (ndziala),2024-06-27,1
Apolonia Chaber (bsierota1),2022-06-15,3
Apolonia Chlebda (futymabruno),2021-12-28,3
Apolonia Chłąd (jeszkehubert),2022-01-03,3
Apolonia Chołody (kamilawiszowata),2024-04-01,1
Apolonia Ciastek (anielajanisz),2022-06-06,3
Apolonia Ciemięga (mieszko18),2024-07-15,1
Apolonia Cisoń (krzysztof844),2022-06-05,3
Apolonia Ciuruś (marekkostorz),2024-06-10,1
Apolonia Cyrek (sternabianka),2024-08-12,1
Apolonia Czak (rafal98),2020-12-15,4
Apolonia Czenczek (kbobel),2022-10-20,3
Apolonia Częścik (uochnio),2022-07-23,3
Apolonia Danisz (idzianita),2023-03-25,2
Apolonia Darłak (konrad02),2023-10-16,2
Apolonia Dawiec (andrzej44),2022-06-03,3
Apolonia Dąbal (xkrzyk),2023-10-29,2
Apolonia Dąbrówka (ymartin),2024-04-02,1
Apolonia Dej (rozaholeksa),2024-01-21,1
Apolonia Dolega (marika601),2023-07-03,2
Apolonia Domka (leonardszyba),2023-03-26,2
Apolonia Doroszkiewicz (fwieckiewicz),2021-12-21,3
Apolonia Dudczak (oliwiersobel),2021-09-03,4
Apolonia Dumin (zieciaksonia),2021-03-24,4
Apolonia Dybał (konradludwisiak),2024-10-15,1
Apolonia Dyjas (kwasekeliza),2022-07-01,3
Apolonia Dytko (kastelikapolonia),2021-10-31,4
Apolonia Dziadowicz (bartelmarek),2024-04-09,1
Apolonia Dziechciarz (soniajaremko),2022-03-28,3
Apolonia Dzierżak (igumula),2024-05-01,1
Apolonia Dziewit (yantoszczyk),2023-06-15,2
Apolonia Engler (vkwoka1),2021-02-18,4
Apolonia Fac (kzasepa),2023-08-01,2
Apolonia Fal (witold53),2023-07-23,2
Apolonia Fidos (kglownia),2024-02-20,1
Apolonia Fiedorczuk (mateuszsieja),2021-10-19,4
Apolonia Fiołek (ztalaj2),2022-06-18,3
Apolonia Fitrzyk (eseidel1),2021-07-25,4
